,Loan Status,Current Loan Amount,Term,Credit Score,Annual Income,Years in current job,Home Ownership,Purpose,Monthly Debt,Years of Credit History,Number of Open Accounts,Credit Problems,Current Credit Balance,Maximum Open Credit,Bankruptcies,Tax Liens
0,Fully Paid,445412.0,Short Term,709.0,1167493.0,8,Home Mortgage,Home Improvements,5214.74,17.2,6.0,1,228190.0,416746.0,1,0
1,Fully Paid,262328.0,Short Term,726.0,1172718.0,10,Home Mortgage,Debt Consolidation,33295.98,21.1,35.0,0,229976.0,850784.0,0,0
2,Fully Paid,347666.0,Long Term,721.0,806949.0,3,Own Home,Debt Consolidation,8741.9,12.0,9.0,0,256329.0,386958.0,0,0
3,Fully Paid,176220.0,Short Term,726.0,1172718.0,5,Rent,Debt Consolidation,20639.7,6.1,15.0,0,253460.0,427174.0,0,0
4,Fully Paid,217646.0,Short Term,730.0,1184194.0,0,Home Mortgage,Debt Consolidation,10855.08,19.6,13.0,1,122170.0,272052.0,1,0
5,Charged Off,648714.0,Long Term,726.0,1172718.0,0,Home Mortgage,Buy House,14806.13,8.2,15.0,0,193306.0,864204.0,0,0
6,Fully Paid,548746.0,Short Term,678.0,2559110.0,2,Rent,Debt Consolidation,18660.28,22.6,4.0,0,437171.0,555038.0,0,0
7,Fully Paid,215952.0,Short Term,739.0,1454735.0,0,Rent,Debt Consolidation,39277.75,13.9,20.0,0,669560.0,1021460.0,0,0
8,Fully Paid,541970.0,Short Term,726.0,1172718.0,10,Home Mortgage,Home Improvements,23568.55,23.2,23.0,0,60705.0,1634468.0,0,0
9,Fully Paid,234124.0,Short Term,727.0,693234.0,10,Rent,Debt Consolidation,14211.24,24.7,10.0,1,28291.0,107052.0,1,0
10,Fully Paid,449020.0,Long Term,726.0,1172718.0,9,Own Home,Debt Consolidation,18904.81,19.4,8.0,0,334533.0,428956.0,0,0
11,Charged Off,653004.0,Long Term,726.0,1172718.0,7,Home Mortgage,Debt Consolidation,14537.09,20.5,9.0,0,302309.0,413754.0,0,0
12,Fully Paid,666204.0,Long Term,723.0,1821967.0,10,Home Mortgage,Debt Consolidation,17612.24,22.0,15.0,0,813694.0,2004618.0,0,0
13,Fully Paid,66396.0,Short Term,726.0,1172718.0,10,Rent,Debt Consolidation,9898.81,27.1,23.0,1,9728.0,402380.0,1,0
14,Fully Paid,390390.0,Short Term,747.0,1791738.0,8,Home Mortgage,Home Improvements,2478.55,22.7,6.0,0,121182.0,801812.0,0,0
15,Charged Off,317108.0,Long Term,687.0,1133274.0,8,Rent,Debt Consolidation,9632.81,17.4,4.0,0,60287.0,126940.0,0,0
16,Fully Paid,128238.0,Short Term,750.0,1354073.0,0,Rent,Debt Consolidation,13202.15,11.9,7.0,0,131936.0,458788.0,0,0
17,Charged Off,153252.0,Short Term,714.0,1890690.0,2,Rent,Debt Consolidation,21900.35,15.7,12.0,0,891594.0,1081014.0,0,0
18,Fully Paid,91894.0,Short Term,724.0,850383.0,10,Home Mortgage,Debt Consolidation,5860.74,17.5,7.0,0,95608.0,230626.0,0,0
19,Fully Paid,244926.0,Long Term,704.0,1249953.0,4,Home Mortgage,Debt Consolidation,6812.26,14.4,6.0,1,143051.0,245014.0,0,1
20,Fully Paid,465410.0,Long Term,688.0,1722654.0,3,Rent,Buy House,15647.45,22.3,7.0,0,107559.0,488356.0,0,0
21,Fully Paid,443960.0,Short Term,749.0,1432391.0,2,Home Mortgage,Debt Consolidation,25186.21,14.0,15.0,0,342475.0,905344.0,0,0
22,Fully Paid,107404.0,Short Term,726.0,1172718.0,10,Home Mortgage,Other,19238.07,43.7,5.0,0,28956.0,58014.0,0,0
23,Fully Paid,334620.0,Short Term,729.0,1348620.0,2,Rent,Debt Consolidation,16913.99,20.0,16.0,0,313177.0,539616.0,0,0
24,Charged Off,130174.0,Short Term,733.0,524609.0,0,Rent,Debt Consolidation,9311.71,15.4,7.0,1,130701.0,268818.0,1,0
25,Fully Paid,333564.0,Long Term,725.0,1248338.0,10,Home Mortgage,Debt Consolidation,18205.04,14.6,18.0,0,300979.0,515526.0,0,0
26,Fully Paid,109318.0,Long Term,726.0,1172718.0,10,Home Mortgage,Buy a Car,15524.9,22.7,9.0,0,77121.0,920524.0,0,0
27,Fully Paid,125796.0,Short Term,745.0,1261068.0,5,Home Mortgage,Debt Consolidation,20597.33,24.5,13.0,0,684817.0,997414.0,0,0
28,Fully Paid,161172.0,Short Term,720.0,796499.0,8,Home Mortgage,Debt Consolidation,3404.99,22.6,6.0,1,114095.0,170038.0,0,0
29,Charged Off,259842.0,Short Term,726.0,1172718.0,8,Home Mortgage,Debt Consolidation,11792.73,20.6,9.0,0,401584.0,708818.0,0,0
30,Fully Paid,449108.0,Short Term,718.0,1454507.0,8,Home Mortgage,Debt Consolidation,13090.43,28.8,14.0,0,193990.0,458414.0,0,0
31,Charged Off,688468.0,Long Term,682.0,1494616.0,0,Rent,Debt Consolidation,14697.07,16.6,8.0,0,343995.0,843854.0,0,0
32,Fully Paid,210166.0,Short Term,726.0,1172718.0,2,Rent,Debt Consolidation,13084.54,14.0,10.0,0,314336.0,483362.0,0,0
33,Fully Paid,327008.0,Long Term,726.0,1172718.0,4,Home Mortgage,Debt Consolidation,15419.45,16.7,13.0,0,268090.0,529738.0,0,0
34,Fully Paid,311762.0,Long Term,680.0,2211657.0,4,Home Mortgage,Debt Consolidation,44601.74,14.5,11.0,0,213921.0,509652.0,0,0
35,Fully Paid,266112.0,Short Term,750.0,919296.0,1,Rent,Debt Consolidation,12946.79,21.6,9.0,0,266266.0,485518.0,0,0
36,Fully Paid,129712.0,Short Term,723.0,1465698.0,10,Own Home,Debt Consolidation,18199.15,19.4,34.0,1,45106.0,163218.0,0,0
37,Fully Paid,287980.0,Short Term,737.0,1013954.0,0,Home Mortgage,Debt Consolidation,16138.6,18.6,11.0,0,223117.0,489302.0,0,0
38,Fully Paid,439428.0,Short Term,710.0,1518024.0,8,Rent,Debt Consolidation,20923.56,17.8,11.0,0,209304.0,265716.0,0,0
39,Charged Off,456808.0,Long Term,598.0,1096167.0,10,Own Home,Debt Consolidation,14341.39,14.1,8.0,0,161861.0,278058.0,0,0
40,Fully Paid,518012.0,Long Term,719.0,1193010.0,10,Own Home,Debt Consolidation,22667.38,20.9,11.0,0,452770.0,1080926.0,0,0
41,Charged Off,214874.0,Short Term,726.0,1172718.0,2,Rent,Debt Consolidation,20322.78,15.6,8.0,0,285589.0,402776.0,0,0
42,Charged Off,374176.0,Long Term,652.0,1239199.0,10,Home Mortgage,Other,5163.25,36.6,10.0,0,126350.0,415602.0,0,0
43,Charged Off,176198.0,Short Term,736.0,1902090.0,10,Home Mortgage,Debt Consolidation,28372.89,15.4,9.0,0,206872.0,620554.0,0,0
